Organization,Month_Year,Count,Unique,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),Old Issues (Open for >120 days),Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor),Views count,Views unique,Clones count,Clones unique
usdot-jpo-ode,2023-02,2421.0,1071.0,396.0,404.0,296.0,560.0,376.0,184.0,56.0,54.0,56.0,2865.0,1422.0,950.0,292.0,16.0,375.0,217.0,81.0,138.0,2.0,2.0,0.0,38.0,12.0,4.0,8.0,4.0,24.0,12.0,10.0,4.0,7.0,3.0,5151.0,966.0,954.0,289.0
usdot-jpo-ode,2023-03,2460.0,1075.0,406.0,406.0,296.0,564.0,376.0,188.0,56.0,54.0,56.0,2862.0,1476.0,982.0,304.0,10.0,338.0,226.0,87.0,141.0,4.0,0.0,4.0,4.0,44.0,32.0,12.0,0.0,28.0,2.0,18.0,8.0,10.0,0.0,4644.0,1060.0,1127.0,465.0
usdot-jpo-ode,2023-04,2988.0,1149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5493.0,1040.0,1116.0,462.0
usdot-jpo-ode,2023-05,1817.0,794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3965.0,696.0,1034.0,259.0
usdot-jpo-ode,2023-06,2339.0,866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4976.0,793.0,838.0,275.0
usdot-jpo-ode,2023-07,4184.0,1084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8230.0,959.0,3397.0,650.0
usdot-jpo-ode,2023-08,3052.0,878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8574.0,807.0,1051.0,473.0
usdot-jpo-ode,2023-09,0.0,0.0,416.0,372.0,300.0,566.0,338.0,228.0,52.0,50.0,50.0,3894.0,1584.0,1002.0,366.0,20.0,328.0,233.0,85.0,150.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,2.0,2.0,0.0,12.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0
usdot-jpo-ode,2023-10,1119.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2310.0,383.0,1159.0,189.0
usdot-jpo-ode,2023-11,2956.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6530.0,963.0,2169.0,570.0
usdot-jpo-ode,2023-12,2690.0,912.0,424.0,406.0,306.0,572.0,338.0,234.0,56.0,48.0,50.0,3902.0,1640.0,1014.0,388.0,16.0,324.0,234.0,85.0,151.0,6.0,0.0,6.0,0.0,4.0,0.0,4.0,2.0,0.0,2.0,4.0,0.0,4.0,2.0,7954.0,943.0,2367.0,474.0
usdot-jpo-ode,2024-01,2757.0,797.0,432.0,414.0,304.0,576.0,342.0,234.0,54.0,50.0,48.0,3660.0,1684.0,1034.0,404.0,6.0,316.0,238.0,86.0,154.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,0.0,22.0,0.0,13.0,6.0,7.0,0.0,5306.0,654.0,1793.0,466.0
usdot-jpo-ode,2024-02,4680.0,1098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10666.0,1098.0,4557.0,635.0
usdot-jpo-ode,2024-03,3800.0,1142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9653.0,1148.0,3795.0,616.0
usdot-jpo-ode,2024-04,2416.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5575.0,717.0,1941.0,372.0
usdot-jpo-ode,2024-05,3041.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7439.0,966.0,8762.0,422.0
